Space group: I4_1/amd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5000000000000001, 0.5000000000000001, 0.4999999999999999)
  N: k=(5.551115123125783e-17, 0.5, -5.551115123125783e-17)
  P: k=(0.25000000000000006, 0.25000000000000006, 0.24999999999999994)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0    -0.0000       -0.00            -    GM3-+GM5-  .     .    (a, 0, 0)       (a, 0)          I4_1/amd(#141)       -       
     1    -0.0000       -0.00            -    GM3-+GM5-  .     .    (0, a, 0)       (0, a)          I4_1/amd(#141)       -       
     2     0.0000        0.00            -    GM3-+GM5-  .     .    (0, a, a)       (a)             I4_1/amd(#141)       -       
     3     0.8592       28.66          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
     4     1.3946       46.52          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       
     5     1.5920       53.10          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
     6     1.6234       54.15           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
     7     1.6234       54.15           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
     8     1.9073       63.62          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
     9     2.7163       90.60          A1g         GM1+  .     Y    (a)             (a)             I4_1/amd(#141)       -       
    10     2.9938       99.86          A1g         GM1+  .     Y    (a)             (a)             I4_1/amd(#141)       -       
    11     3.1046      103.56          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    12     3.3526      111.83          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       
    13     3.6356      121.27          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
    14     3.7559      125.28           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    15     3.7559      125.28           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    16     3.8104      127.10           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    17     3.8104      127.10           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    18     3.8244      127.57          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
    19     4.3955      146.62          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
