Space group: I4_1/acd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5, 0.5, 0.5)
  N: k=(0.0, 0.5, 0.0)
  P: k=(0.25, 0.25, 0.25)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0    -1.7963      -59.92           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
     1    -1.7963      -59.92           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
     2    -1.7459      -58.24           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
     3    -1.7459      -58.24           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
     4    -0.0000       -0.00            -    GM3-+GM5-  .     .    (a, 0, 0)       (a, 0)          I4_1/acd(#142)       -       
     5     0.0000        0.00            -    GM3-+GM5-  .     .    (0, a, 0)       (a)             I4_1/acd(#142)       -       
     6     0.0000        0.00            -    GM3-+GM5-  .     .    (0, a, a)       (0, a)          I4_1/acd(#142)       -       
     7     1.2006       40.05           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
     8     1.2006       40.05           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
     9     1.4479       48.30           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    10     1.4479       48.30           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    11     1.6529       55.13           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    12     1.6529       55.13           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    13     1.8250       60.88           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    14     1.8250       60.88           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    15     2.2139       73.85           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    16     2.2139       73.85           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    17     2.5791       86.03           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    18     2.5791       86.03           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    19     2.8740       95.87           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    20     2.8740       95.87           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    21     3.6818      122.81          B1g         GM2+  .     Y    (a)             (a)             Ibca(#73)            -       
    22     4.0615      135.48          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
    23     4.0616      135.48          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    24     4.1852      139.60          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
    25     4.1948      139.92          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
    26     4.2590      142.06           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    27     4.2590      142.06           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    28     4.3142      143.91           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    29     4.3142      143.91           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    30     4.8019      160.17          B2u         GM4-  .     .    (a)             (a)             I-4c2(#120)          -       
    31     5.0412      168.16           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    32     5.0412      168.16           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    33     5.2786      176.08          B1g         GM2+  .     Y    (a)             (a)             Ibca(#73)            -       
    34     5.4233      180.90          A2u         GM3-  Y     .    (a)             (a)             I4_1cd(#110)         -       
    35     5.4943      183.27          A1g         GM1+  .     Y    (a)             (a)             I4_1/acd(#142)       -       
    36     5.5322      184.53          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
    37     5.5324      184.54          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
    38     5.5841      186.27           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    39     5.5841      186.27           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    40     5.6938      189.92           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    41     5.6938      189.92           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    42     5.9067      197.03           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    43     5.9067      197.03           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    44     5.9947      199.96           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    45     5.9947      199.96           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    46     6.8024      226.90           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    47     6.8024      226.90           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    48     7.0424      234.91          B2u         GM4-  .     .    (a)             (a)             I-4c2(#120)          -       
    49     7.0435      234.95          A1g         GM1+  .     Y    (a)             (a)             I4_1/acd(#142)       -       
    50     8.1508      271.88           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
    51     8.1508      271.88           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
    52     8.1644      272.34           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
    53     8.1644      272.34           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
    54     8.4586      282.15          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
    55     8.4914      283.24          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
